ID,SUBSCRIPTION_ID,STUDENT_ROLL_NUMBER_ID,SUBSCRIPTION_DATE,EXPIRY_DATE,STATUS
1,SUB2026001,STU2026001,2026-06-15,2027-06-14,A
2,SUB2026002,STU2026002,2025-06-20,2026-06-19,P
3,SUB2026003,STU2026003,2024-06-18,2025-06-17,P
4,SUB2026004,STU2026004,2026-06-15,2027-06-14,A
5,SUB2026005,STU2026005,2025-06-20,2026-06-19,D
6,SUB2026006,STU2026006,2024-06-18,2025-06-17,P
7,SUB2026007,STU2026007,2026-06-15,2027-06-14,A
8,SUB2026008,STU2026008,2025-06-20,2026-06-19,A
9,SUB2026009,STU2026009,2023-06-19,2024-06-18,P
10,SUB2026010,STU2026010,2026-06-15,2027-06-14,A
